film_id,title,year,reviews,scariness
s0001,Small Coast,2022,That long hallway shot is chilling. The sound design is haunting. Shot on 16mm and it shows. The score is ominous. The director clearly loves the genre.,6.9
s0002,Long Light,2014,The pacing is gruesome. The cast play it chilling. The atmosphere is grisly. The whole thing is tedious. The ending is terrifying. The director clearly loves the genre. Shot on 16mm and it shows.,7.1
s0003,Low Hollow,2021,"The ending is creepy. I saw it in a full theatre, which helped. The whole thing is ominous. The final scene is haunting. The first half is bloody. The pacing is tame. The atmosphere is predictable. Every beat is gruesome. Worth seeing with an audience.",7.7
s0004,Low Field,2011,"Every beat is hardly sinister. The score is not remotely bloody. The pacing is never once ominous. I saw it in a full theatre, which helped. The cast play it creepy.",3.8
s0005,The Market,2004,Every beat is unsettling. The ending is eerie. The trailer gives away too much. The third act is hardly boring.,8.4
s0006,Low Station,2024,The score is never predictable. The third act is not grisly. The cast play it unsettling. The director clearly loves the genre. The soundtrack is doing a lot of work.,6.5
s0007,Pale Orchard,2003,"The soundtrack is doing a lot of work. I saw it in a full theatre, which helped. The cast play it brutal.",5.7
s0008,Winter Chapel,2002,The cast is doing real work here.,5.1
s0009,Night Door,2007,The pacing is terrifying. The director clearly loves the genre. The first half is not especially brutal.,6.0
s0010,Green Hollow,2009,The third act is unsettling. The cast is doing real work here. The premise is gory. That long hallway shot is sinister.,6.7
s0011,Salt Field,2017,Every beat is haunting. The trailer gives away too much. The soundtrack is doing a lot of work. The premise is gory.,6.8
s0012,Red Tower,2007,The middle hour is gory. That long hallway shot is not remotely haunting. The atmosphere is eerie. The sound design is gruesome. The cast is doing real work here.,6.5
s0013,Wild Lantern,2013,The third act is gory. That long hallway shot is not terrifying. The premise is ominous. Shot on 16mm and it shows. The atmosphere is sinister.,6.3
s0014,Near Garden,2013,The whole thing is never terrifying. The trailer gives away too much. The pacing is not especially sinister. Every beat is not creepy.,2.4
s0015,Long Market,2013,The premise is never once terrifying. Worth seeing with an audience. The first half is eerie. The pacing is bloody. The score is tame.,5.3
s0016,Far Woods,2015,"Ninety minutes, no padding. The premise is creepy. The final scene is ominous. Shot on 16mm and it shows. The ending is hardly chilling. The atmosphere is predictable. The third act is bloody.",6.5
s0017,Grey Door,2011,Worth seeing with an audience.,5.7
s0018,Blue Tide,2020,The cast play it not especially terrifying. The atmosphere is tame. The soundtrack is doing a lot of work. The pacing is creepy. The final scene is gory.,4.8
s0019,Last Chapel,2005,Shot on 16mm and it shows. The soundtrack is doing a lot of work. The pacing is bloody. The first half is grisly.,5.5
s0020,Far Field,2015,"The cast is doing real work here. The middle hour is silly. The ending is predictable. I saw it in a full theatre, which helped.",3.5
s0021,Pale Signal,2015,The sound design is hardly eerie. The score is bloody. The trailer gives away too much. The third act is not remotely ominous.,3.0
s0022,Long Coast,2022,The trailer gives away too much. Every beat is gruesome. Worth seeing with an audience. The whole thing is not especially creepy. The final scene is ominous. The cast play it silly. The score is predictable. The middle hour is gory.,5.7
s0023,Small Chapel,2003,"I saw it in a full theatre, which helped. The soundtrack is doing a lot of work. The atmosphere is tame. Every beat is haunting.",5.1
s0024,Quiet Harbour,2013,"The third act is tedious. I saw it in a full theatre, which helped. Ninety minutes, no padding.",4.7
s0025,Green Lantern,2012,The middle hour is brutal. The atmosphere is hardly tedious. Every beat is not especially boring. The cast is doing real work here. Shot on 16mm and it shows. The score is sinister. The whole thing is hardly haunting.,7.1
s0026,Salt Mirror,2006,"I saw it in a full theatre, which helped. The ending is tame. The cast play it hardly unsettling. Every beat is not sinister.",2.6
s0027,Salt Room,2002,"The atmosphere is terrifying. The third act is ominous. The trailer gives away too much. The pacing is chilling. Ninety minutes, no padding.",8.2
s0028,Winter Station,2005,"Every beat is chilling. The soundtrack is doing a lot of work. The whole thing is hardly grisly. The first half is eerie. I saw it in a full theatre, which helped.",6.1
s0029,Long Coast Redux,2005,"The pacing is hardly creepy. The middle hour is boring. The third act is gruesome. Ninety minutes, no padding.",3.9
s0030,Hollow Room,2022,"Ninety minutes, no padding. The atmosphere is boring. The director clearly loves the genre.",4.5
s0031,Quiet Harbour III,2022,The first half is chilling. The pacing is creepy. The score is hardly gruesome. The middle hour is hardly predictable. The trailer gives away too much. The sound design is hardly brutal.,6.7
s0032,Low Market,2005,The pacing is boring. The atmosphere is never once ominous. The whole thing is not remotely eerie. The director clearly loves the genre.,2.8
s0033,Pale Well,2020,That long hallway shot is tedious. The pacing is silly. The whole thing is eerie. Worth seeing with an audience. The cast play it not remotely terrifying. The ending is haunting. The atmosphere is hardly grisly.,5.4
s0034,Black Hollow,2024,"Ninety minutes, no padding. The pacing is ominous. Worth seeing with an audience. The premise is sinister. The score is not especially tame. That long hallway shot is boring.",7.3
s0035,Bright Room,2005,"Every beat is not chilling. The premise is silly. The score is never once tame. I saw it in a full theatre, which helped. The pacing is gruesome.",4.5
s0036,Far Ferry,1999,"The first half is never gruesome. I saw it in a full theatre, which helped. Every beat is hardly bloody.",4.6
s0037,Bitter Lantern,2017,"The cast play it not creepy. That long hallway shot is silly. The final scene is unsettling. The third act is boring. Ninety minutes, no padding. The ending is not remotely bloody. I saw it in a full theatre, which helped. The premise is not especially brutal.",4.1
s0038,Winter Hour,2022,The pacing is boring. The score is sinister. The first half is bloody. The third act is unsettling. The whole thing is brutal. The sound design is not especially eerie. Worth seeing with an audience. Shot on 16mm and it shows.,6.4
s0039,Pale Orchard Redux,2003,"Ninety minutes, no padding. The score is brutal. The ending is boring. The middle hour is hardly gruesome. The sound design is ominous.",5.4
s0040,Pale Bridge,2006,The ending is never eerie. The soundtrack is doing a lot of work. The middle hour is chilling. The sound design is never once ominous. The score is gruesome.,4.7
s0041,Wild Tide,2015,The final scene is never tedious. The pacing is eerie. The ending is chilling. The cast is doing real work here. Every beat is unsettling.,9.0
s0042,Night Tower,2003,The pacing is unsettling. The ending is not especially creepy. The cast play it gruesome. Shot on 16mm and it shows. The soundtrack is doing a lot of work.,5.6
s0043,Last House,2023,Every beat is sinister. Worth seeing with an audience. The director clearly loves the genre. The third act is ominous.,7.3
s0044,Blue Light,2010,The third act is tedious. The premise is bloody. The director clearly loves the genre. The middle hour is predictable.,3.8
s0045,Near Coast,2001,"I saw it in a full theatre, which helped. The middle hour is unsettling. The director clearly loves the genre. Every beat is creepy.",7.0
