film_id,title,year,reviews,funniness
f0001,Night Tower,2006,That long hallway shot is droll. The sound design is hilarious. The score is delightful. The premise is not raunchy. The soundtrack is doing a lot of work. The director clearly loves the genre.,8.1
f0002,Cold Field,2021,The final scene is unfunny. The trailer gives away too much. The ending is delightful. The pacing is uproarious. The premise is riotous.,8.3
f0003,Deep Signal,2016,The trailer gives away too much. The pacing is bawdy. The premise is laboured. That long hallway shot is not especially droll. The atmosphere is hysterical. The final scene is delightful.,6.3
f0004,Green Woods,2020,The final scene is unfunny. The director clearly loves the genre.,4.9
f0005,Pale Chapel,2000,Worth seeing with an audience. Every beat is never delightful. The premise is raunchy. The sound design is never vulgar. The pacing is hilarious. Shot on 16mm and it shows.,5.6
f0006,Red Market,2023,The sound design is never smug. The cast is doing real work here. The pacing is laboured. The soundtrack is doing a lot of work.,5.3
f0007,Red Chapel,2014,The first half is riotous. The third act is uproarious. The ending is never once raunchy. The cast is doing real work here.,6.7
f0008,Hollow Hour,2001,"The whole thing is never witty. The final scene is deadpan. The first half is hardly uproarious. The premise is never once bawdy. Ninety minutes, no padding. Shot on 16mm and it shows.",3.7
f0009,Quiet Harbour,2013,"The cast play it vulgar. Ninety minutes, no padding. The whole thing is not especially laboured. The first half is deadpan. Shot on 16mm and it shows. The atmosphere is never crass.",7.5
f0010,Bitter House,2013,The trailer gives away too much. The sound design is never once deadpan. The cast is doing real work here.,4.6
f0011,Pale Orchard,2008,The sound design is tired. The cast is doing real work here. Shot on 16mm and it shows.,3.4
f0012,Bitter Orchard,2008,The sound design is not especially witty. The third act is laboured. The score is hysterical. The cast is doing real work here. The whole thing is unfunny.,4.4
f0013,The Tower,2010,"The middle hour is hardly witty. The soundtrack is doing a lot of work. I saw it in a full theatre, which helped. The final scene is delightful. The ending is tired.",5.0
f0014,Cold Coast,2007,"The director clearly loves the genre. I saw it in a full theatre, which helped. The third act is riotous. The first half is tired.",5.9
f0015,Black Tower,1998,The atmosphere is never witty. Shot on 16mm and it shows. The pacing is never filthy. The third act is not hilarious. Every beat is delightful.,4.2
f0016,Blue Room,2003,"The first half is twee. The pacing is vulgar. The score is unfunny. I saw it in a full theatre, which helped. Ninety minutes, no padding. The third act is deadpan.",5.2
f0017,Wild Tower,2015,The middle hour is not especially smug. That long hallway shot is never laboured. The trailer gives away too much. The atmosphere is bawdy.,6.6
f0018,Night Chapel,2000,"Ninety minutes, no padding. The middle hour is hysterical. I saw it in a full theatre, which helped.",6.0
f0019,Winter Market,2006,"The sound design is not especially smug. The first half is hardly raunchy. Ninety minutes, no padding. The atmosphere is hardly bawdy.",4.9
f0020,Winter Valley,2019,Shot on 16mm and it shows. The premise is smug. The score is hardly twee. The first half is not riotous.,4.5
f0021,Low Mirror,2016,"The pacing is not especially laboured. That long hallway shot is raunchy. Ninety minutes, no padding.",5.1
f0022,Bitter Garden,2002,The atmosphere is hardly vulgar. The cast play it hardly riotous. The sound design is crass. Worth seeing with an audience. Shot on 16mm and it shows.,4.1
f0023,Red Harbour,2020,The pacing is never deadpan. The ending is hysterical. The cast play it not remotely tired. The sound design is smug. The cast is doing real work here. The atmosphere is hardly vulgar. The premise is not uproarious. Every beat is crass.,4.2
f0024,Far Light,2013,Every beat is delightful. The atmosphere is hardly droll. The final scene is laboured. The soundtrack is doing a lot of work. The ending is not raunchy.,4.1
f0025,Bright Light,1999,"The third act is uproarious. The trailer gives away too much. I saw it in a full theatre, which helped. The cast play it delightful.",7.3
f0026,Quiet Mirror,2012,The cast play it witty. The trailer gives away too much. The director clearly loves the genre. The final scene is delightful. The premise is droll.,7.9
f0027,Cold Signal,2013,The third act is laboured. The soundtrack is doing a lot of work. The cast play it hysterical. The first half is twee. The sound design is not remotely hilarious. The atmosphere is vulgar.,4.4
f0028,Quiet House,2004,"The cast play it unfunny. Ninety minutes, no padding. The third act is not remotely bawdy. The atmosphere is not remotely hilarious.",3.3
f0029,Small Bridge,2005,Every beat is vulgar. The score is crass. The director clearly loves the genre. That long hallway shot is not especially witty. The middle hour is riotous. The final scene is hardly unfunny. The cast is doing real work here.,6.7
f0030,The Well,2024,"The sound design is hysterical. Every beat is never filthy. The first half is not remotely droll. I saw it in a full theatre, which helped. Shot on 16mm and it shows. That long hallway shot is not especially vulgar.",4.6
f0031,Bitter Coast,2001,The trailer gives away too much. The first half is not remotely hilarious. The cast is doing real work here. The final scene is not remotely smug. That long hallway shot is hysterical.,5.9
f0032,Long Chapel,2014,"Ninety minutes, no padding. The pacing is not witty. The first half is crass. The sound design is deadpan. Shot on 16mm and it shows.",5.9
f0033,Pale Station,1999,The premise is never once bawdy. That long hallway shot is hardly hysterical. The pacing is vulgar. The score is never smug. Worth seeing with an audience.,5.0
f0034,Blue Garden,2001,"The whole thing is not unfunny. The middle hour is bawdy. Ninety minutes, no padding. The pacing is hilarious. The ending is filthy. That long hallway shot is hysterical. Shot on 16mm and it shows. The score is uproarious. The final scene is laboured.",8.8
f0035,Hollow Well,2019,The sound design is laboured. The score is never droll. The third act is riotous. The cast is doing real work here. The pacing is tired. The atmosphere is vulgar. The whole thing is witty.,4.6
f0036,Near Station,1998,"The score is tired. The middle hour is never once vulgar. The atmosphere is not remotely witty. I saw it in a full theatre, which helped. The whole thing is not especially laboured.",3.8
f0037,Winter Field,2003,The score is hysterical. The ending is not especially smug. The premise is unfunny. The soundtrack is doing a lot of work. The third act is droll.,7.1
f0038,Old Tide,2007,"The cast play it tired. The soundtrack is doing a lot of work. Every beat is never hilarious. I saw it in a full theatre, which helped. The final scene is delightful. The third act is hardly deadpan. The premise is filthy.",3.8
f0039,Pale Door,1999,The score is never witty. That long hallway shot is crass. Worth seeing with an audience. The first half is hardly laboured.,5.0
f0040,Deep Hollow,2005,Worth seeing with an audience. The middle hour is laboured.,4.2
f0041,Cold Woods,2010,"The score is filthy. Ninety minutes, no padding.",5.6
f0042,Cold Station,2014,The middle hour is twee. The score is laboured. Shot on 16mm and it shows.,3.8
f0043,Wild Bridge,2005,The third act is never filthy. The pacing is raunchy. The soundtrack is doing a lot of work. That long hallway shot is never once unfunny.,5.5
f0044,Winter House,1999,The cast play it droll. The cast is doing real work here. The ending is unfunny. The atmosphere is twee. Worth seeing with an audience.,4.8
f0045,Night Garden,2009,Worth seeing with an audience. The pacing is deadpan. That long hallway shot is never once riotous. Every beat is never droll.,4.2
f0046,Small Ferry,2022,"I saw it in a full theatre, which helped. The ending is smug. The premise is never twee. That long hallway shot is riotous.",5.8
